n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,1000,32,0.3,10,0,10799621456697384,8905448.805348584,1.1920930376163597e-7,3.286481558006926e-7
30,3,1500,32,0.01,0.1,4,108177585288188,419532.98159277084,1.1920930376163597e-7,0.003982949070632458
30,3,1750,32,0.01,0.3,2,10900683228462782,59553.7578125,1.1920928955078125e-7,0.000007650511179235764
30,3,1500,32,0.01,3,2,1090336674313167,98299.39272870976,1.1920930376163597e-7,0.0004837888991460204
30,3,1250,32,1,0.3,8,10924432430272779,3.733508809564622,0.08522099256515503,0.2360132932662964
30,3,750,32,0.03,1,3,10936399974817657,48568706.21015904,1.1920930376163597e-7,0.3763161599636078
30,3,750,32,0.1,1,2,10984589843009362,50407413.99096799,1.1920930376163597e-7,4.3270642891002353e-7
30,3,1250,32,1,0.1,1,11013390782275134,3.2319696382335295,0.07952844351530075,0.1656033843755722
30,3,1750,32,1,1,1,1118029761535575,1.9601661917564286,0.06456346064805984,0.08366052061319351
30,3,1750,32,0.3,10,5,11461431342247586,26.879430787701438,1.1920928955078125e-7,2.0456317884054442e-7
30,3,1750,32,0.03,3,1,11745191669164767,223447.01704451305,1.1920928955078125e-7,1.3086797423511598e-7
30,3,1750,32,0.1,10,3,12001027538795517,20694.738385107386,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1750,32,0.1,3,4,12008945759267575,594.8566050281,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1750,32,0.01,10,5,12026709987012496,218019.421875,1.1920928955078125e-7,0.0008332479046657681
30,3,750,32,0.1,3,3,12036355473922766,47473386.340731345,1.1920930376163597e-7,7.456337698386051e-7
30,3,1500,32,0.03,0.3,3,12076614257938578,1659100.954819372,1.1920930376163597e-7,1.5572311440337216e-7
30,3,1250,32,0.01,1,7,12121607447701266,5895065.104253776,1.1920930376163597e-7,0.13880571722984314
30,3,1000,32,0.01,10,2,12142214760955838,17209467.948471554,1.1920930376163597e-7,0.6943801641464233
30,3,750,32,0.3,1,3,12266492789153927,42294826.95806373,1.1920930376163597e-7,0.7083881497383118
30,3,1750,32,1,3,4,12384738677340013,1.4812741503979046,0.08716896176338196,0.09140221774578094
30,3,1750,32,0.01,0.3,7,12409246301388377,49427.37890625,1.1920928955078125e-7,0.0007752098608762026
30,3,1250,32,0.03,0.3,8,12460968442976394,1044386.3754994421,1.1920930376163597e-7,1.6039611239193619e-7
30,3,1750,32,0.03,1,1,12466877951892896,15218.947265625,1.1920928955078125e-7,1.21629256000233e-7
30,3,750,32,0.3,3,1,12470120979813892,38734195.38252409,1.1920930376163597e-7,0.0033177752047777176
30,3,1000,32,0.1,1,3,12518478978034586,36688451.62639575,1.1920930376163597e-7,1.1954310252804135e-7
30,3,1500,32,0.3,0.3,5,1253869622100614,554.347911143119,1.1924903731141967e-7,1.4456512076321815e-7
30,3,1000,32,1,10,5,1277064276720279,4.911859819849862,0.09963471442461014,0.4615607261657715
30,3,1000,32,1,10,1,12851062990097695,3.983177580818662,0.11889193952083588,0.4443896412849426
30,3,1750,32,1,0.3,1,12864835906197525,1.9564836313808893,0.07606261968612671,0.12256672978401184
30,3,1000,32,0.01,10,1,12913686297547744,22947605.55769824,1.1920930376163597e-7,0.7163546681404114
30,3,1250,32,0.1,0.3,7,12968331270397748,3419324.993699942,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1750,32,0.1,1,8,13099670649096196,29717.039764366724,1.1920928955078125e-7,1.1951925671382924e-7
30,3,1000,32,0.01,0.1,7,1310322494755204,15097670.200217461,1.1920930376163597e-7,0.5714022517204285
30,3,1000,32,0.3,3,2,1310765376115166,31642357.545341507,1.1920930376163597e-7,3.373861829913949e-7
30,3,1250,32,0.01,0.3,7,13144407086101706,4654855.248931001,1.1920930376163597e-7,0.06645512580871582
30,3,750,32,0.01,10,8,1318529083905825,51683817.8388088,1.1920930376163597e-7,0.7433104515075684
30,3,1500,32,1,10,1,13237312556998648,2.545572302793086,0.04906195029616356,0.06508588790893555
30,3,1500,32,0.3,0.1,3,13346299075769386,333012.42958395695,1.1924903731141967e-7,1.7387868922469352e-7
30,3,1250,32,0.03,3,6,13366634025398938,2764887.4603564967,1.1920930376163597e-7,1.9201051770778577e-7
30,3,1750,32,1,3,8,13391713095036029,1.8206507391289142,0.04563338682055473,0.04812926426529884
30,3,750,32,0.3,10,0,13512654221617582,40307951.194917776,1.1920930376163597e-7,0.7256055474281311
30,3,1500,32,0.01,1,8,13514189145488797,12951867.007679474,1.1920930376163597e-7,0.2614762485027313
30,3,1000,32,0.3,0.1,6,1352977708450015,36408837.1212207,1.193285186218418e-7,0.6929154396057129
30,3,1750,32,0.01,1,2,13547877972278355,39040.41798641295,1.1920928955078125e-7,0.000022191996322362684
30,3,750,32,0.1,1,2,1383280491470288,48986490.16035531,1.1920930376163597e-7,1.6939642932811694e-7
30,3,1500,32,1,3,7,13850750190207284,2.3672512763868503,0.08983949571847916,0.14385950565338135
30,3,1000,32,0.3,10,6,13935491596747762,20320867.771121778,1.2844805041822838e-7,5.772235454060137e-7
30,3,1000,32,0.1,10,2,13992847312282086,15812140.115046011,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1250,32,0.03,0.1,3,14008316580002111,7402305.617576406,1.1920930376163597e-7,3.8541688240911753e-7
30,3,1500,32,0.03,10,4,14046673022797052,1018194.3961362401,1.1920930376163597e-7,1.3365747975058184e-7
30,3,1750,32,1,3,2,14057588483523809,1.8814376583441397,0.046686895191669464,0.057322628796100616
30,3,1750,32,0.01,10,1,14095972939392332,398325.1046767556,1.1920928955078125e-7,0.00032225195900537074
30,3,750,32,0.1,3,8,14207382272308322,39353027.30875357,1.1920930376163597e-7,1.5177728585058503e-7
